,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,Complete Hypnotherapy & Hypnosis Certification Diploma,4.7,5,0.5,3524,Lifestyle,Esoteric Practices,Hypnotherapy,Dr Karen E Wells,English,False,0,4,0,3.0,0,Yes,104.98,26.0
1,Pinterest Marketing for Wedding Professionals 2020,5.0,5,0.5,1,Marketing,Social Media Marketing,Pinterest Marketing,Staci Nichols,English,False,0,0,0,0.6,2,No,29.98,22.0
2,Master the Telephone Sales- Cold calling Secrets,4.5,5,0.5,3,Marketing,Product Marketing,Marketing Strategy,Sanjay Bhasin,English,False,0,0,0,0.7333333333333333,0,No,29.98,22.0
3,5 Practical Management concepts you MUST know,5.0,5,0.5,2,Personal Development,Leadership,Management Skills,Vasudev Murthy,English,False,0,0,0,2.0,0,No,49.98,22.0
4,Fermented Foods Mastery,4.5,5,0.5,187,Health & Fitness,Nutrition,Fermented Foods,Kale Brock,English,False,0,3,0,1.5,12,No,68.98,24.0
5,Your Guide To Creating Money-Savvy Kids,5.0,5,0.5,2,Finance & Accounting,Other Finance & Accounting,Personal Finance,Jeremy Saker,English,False,0,0,0,1.5,15,No,29.98,22.0
6,Wix Master Course: Make A Website with Wix (FULL 4 HOURS),4.4,5,0.5,1309,Development,No-Code Development,Wix,Nickie Rowley,English,False,0,1,0,4.5,3,Yes,40.98,27.0
7,"The Complete App Design Course - UX, UI and Design Thinking",4.4,5,0.5,8421,Design,User Experience Design,Mobile App Design,App Brewery Co.,English,False,0,14,0,3.0,1,No,128.98,22.0
8,Product Marketing Fundamentals,4.5,5,0.5,1,Marketing,Product Marketing,Marketing Strategy,Institute of Product Leadership,English,False,0,0,0,2.5,0,No,49.98,22.0
9,Analog Circuit Crash Course for VLSI Interview and GATE exam,5.0,5,0.5,3,IT & Software,Hardware,VLSI,Learnin28days Academy,English,False,0,0,0,7.0,0,No,29.98,29.98
10,How to write your teaching portfolio,5.0,5,0.5,2,Teaching & Academics,Other Teaching & Academics,Professional Portfolio,Dr. Elisabeth Weber,English,False,0,0,0,2.0,14,No,128.98,22.0
11,Procedural Materials In Blender,0.0,0,0.0,0,Design,3D & Animation,Blender,Canopy Games,English,False,0,0,0,3.5,6,No,29.98,22.0
12,Indicators of attacks by using Wireshark,5.0,5,0.5,1,IT & Software,Network & Security,Cyber Security,Ali N F,English,False,0,0,0,4.5,2,No,128.98,22.0
13,Creative Ideas for Logo Animation,4.5,5,0.5,25,Photography & Video,Other Photography & Video,Motion Graphics,Tiger Verse,English,False,0,0,0,0.55,4,No,59.98,22.0
14,Learn to Sing Beginner to Pro! - #1 Complete Singing Course,4.7,5,0.5,75,Music,Vocal,Singing,Emily Reed,English,False,0,5,0,1.5,34,No,108.98,22.0
15,Grow Your Network With Live Streams on Meerkat,5.0,5,0.5,1,Marketing,Social Media Marketing,Live Streaming,Benjamin East,English,False,0,1,0,0.7166666666666667,0,No,29.98,22.0
