,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,1236468,Complete Hypnotherapy & Hypnosis Certification Diploma,4.7,5,0.5,3524,Lifestyle,Esoteric Practices,Hypnotherapy,Dr Karen E Wells,English,False,0,4,0,3 hours,0,Yes,104.98,"{'amount': 26.0, 'currency': 'SGD', 'price_string': 'S$26', 'currency_symbol': 'S$'}"
0,3544722,Pinterest Marketing for Wedding Professionals 2020,5.0,5,0.5,1,Marketing,Social Media Marketing,Pinterest Marketing,Staci Nichols,English,False,0,0,0,36 mins,2,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3075744,Master the Telephone Sales- Cold calling Secrets,4.5,5,0.5,3,Marketing,Product Marketing,Marketing Strategy,Sanjay Bhasin,English,False,0,0,0,44 mins,0,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3732596,5 Practical Management concepts you MUST know,5.0,5,0.5,2,Personal Development,Leadership,Management Skills,Vasudev Murthy,English,False,0,0,0,2 hours,0,No,49.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,745438,Fermented Foods Mastery,4.5,5,0.5,187,Health & Fitness,Nutrition,Fermented Foods,Kale Brock,English,False,0,3,0,1.5 hours,12,No,68.98,"{'amount': 24.0, 'currency': 'SGD', 'price_string': 'S$24', 'currency_symbol': 'S$'}"
0,2821697,Your Guide To Creating Money-Savvy Kids,5.0,5,0.5,2,Finance & Accounting,Other Finance & Accounting,Personal Finance,Jeremy Saker,English,False,0,0,0,1.5 hours,15,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,1223634,Wix Master Course: Make A Website with Wix (FULL 4 HOURS),4.4,5,0.5,1309,Development,No-Code Development,Wix,Nickie Rowley,English,False,0,1,0,4.5 hours,3,Yes,40.98,"{'amount': 27.0, 'currency': 'SGD', 'price_string': 'S$27', 'currency_symbol': 'S$'}"
0,1184844,"The Complete App Design Course - UX, UI and Design Thinking",4.4,5,0.5,8421,Design,User Experience Design,Mobile App Design,App Brewery Co.,English,False,0,14,0,3 hours,1,No,128.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4025988,Product Marketing Fundamentals,4.5,5,0.5,1,Marketing,Product Marketing,Marketing Strategy,Institute of Product Leadership,English,False,0,0,0,2.5 hours,0,No,49.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4057022,Analog Circuit Crash Course for VLSI Interview and GATE exam,5.0,5,0.5,3,IT & Software,Hardware,VLSI,Learnin28days Academy,English,False,0,0,0,7 hours,0,No,29.98,
0,3351762,How to write your teaching portfolio,5.0,5,0.5,2,Teaching & Academics,Other Teaching & Academics,Professional Portfolio,Dr. Elisabeth Weber,English,False,0,0,0,2 hours,14,No,128.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4139336,Procedural Materials In Blender,0,0,0,0,Design,3D & Animation,Blender,Canopy Games,English,False,0,0,0,3.5 hours,6,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4051092,Indicators of attacks by using Wireshark,5.0,5,0.5,1,IT & Software,Network & Security,Cyber Security,Ali N F,English,False,0,0,0,4.5 hours,2,No,128.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4055796,Creative Ideas for Logo Animation,4.5,5,0.5,25,Photography & Video,Other Photography & Video,Motion Graphics,Tiger Verse,English,False,0,0,0,33 mins,4,No,59.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3535238,Learn to Sing Beginner to Pro! - #1 Complete Singing Course,4.7,5,0.5,75,Music,Vocal,Singing,Emily Reed,English,False,0,5,0,1.5 hours,34,No,108.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,729728,Grow Your Network With Live Streams on Meerkat,5.0,5,0.5,1,Marketing,Social Media Marketing,Live Streaming,Benjamin East,English,False,0,1,0,43 mins,0,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,4094878,Find your dream job/ internship using Angel List Talent,4.3,5,0.5,6,Personal Development,Career Development,Job Search,Studism Classes,English,False,0,0,0,34 mins,0,No,29.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,2306286,Create Your Own VirtualBox Windows Server Lab from Scratch!,5.0,5,0.5,44,IT & Software,Operating Systems & Servers,VirtualBox,"Alton Hardin | 100,000+ Enrollments Worldwide",English,False,0,4,0,2.5 hours,2,No,40.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3447284,Managing International Teams: your Keys to Success,5.0,5,0.5,3,Business,Human Resources,Virtual Teams,Nathalie Delplanque,English,False,0,0,0,1 hour,2,No,68.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,2565858,Introduction to Mind Mapping,5.0,5,0.5,1,Personal Development,Memory & Study Skills,Mind Mapping,Jayne Cormie,English,False,0,3,0,3 hours,50,No,59.98,
0,1111630,Learn piano or keyboard from scratch - Complete piano course,4.7,5,0.5,2814,Music,Instruments,Piano,Martin Cohen,English,False,0,36,0,22.5 hours,480,No,128.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3685534,Consciously Creating - Healing Your Unconscious Patterns,5.0,5,0.5,4,Personal Development,Personal Transformation,Self-Acceptance,Julia Chi Taylor,English,False,0,0,0,3 hours,10,No,55.98,
0,2636158,Nikon DSLR Photography: Getting Started with Your DSLR,4.5,5,0.5,367,Photography & Video,Photography Tools,DSLR,Phil Ebiner,English,False,0,3,0,2 hours,7,No,108.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,2707930,The Scrum Bootcamp | Scrum Practices | Scrum Case Studies,4.6,5,0.5,136,Teaching & Academics,Other Teaching & Academics,Scrum,"Elite Instructors, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",English,False,0,2,0,5 hours,8,No,128.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
0,3657162,Songwriting Basics for Ballads in 7 Easy Steps,0,0,0,0,Music,Other Music,Songwriting,Franco Bello,English,False,0,0,0,1.5 hours,9,No,34.98,"{'amount': 22.0, 'currency': 'SGD', 'price_string': 'S$22', 'currency_symbol': 'S$'}"
